Tree;Sp;DY;RF;nC;nE;nL;nM
2;ABAL;242;3;NA;NA;3;40
2;ABAL;249;1;7;1;7;46
2;ABAL;249;2;6;1;7;NA
2;ABAL;249;3;6;1;7;NA
2;ABAL;256;1;7;1;4;44
2;ABAL;256;2;7;1;4;40
2;ABAL;256;3;NA;NA;5;40
2;ABAL;263;1;7;1;3;45
2;ABAL;263;2;7;1;3;41
2;ABAL;263;3;7;1;4;39
2;ABAL;270;1;7;0;2;52
2;ABAL;270;2;7;0;2;NA
2;ABAL;270;3;7;0;3;NA
2;ABAL;277;1;8;0;5;63
2;ABAL;277;2;8;0;5;61
2;ABAL;277;3;9;0;7;63
2;ABAL;284;1;7;0;4;67
2;ABAL;284;2;6;0;3;62
2;ABAL;284;3;7;0;4;61
2;ABAL;291;1;7;0;2;54
2;ABAL;291;2;7;0;3;56
2;ABAL;291;3;7;0;4;62
2;ABAL;298;1;7;0;0;50
2;ABAL;298;2;7;0;0;51
2;ABAL;298;3;8;0;0;49
2;ABAL;305;1;7;0;0;38
2;ABAL;305;2;7;0;0;39
2;ABAL;305;3;7;0;0;38
2;ABAL;312;1;7;0;0;35
2;ABAL;312;2;6;0;0;36
2;ABAL;312;3;7;0;0;38
2;ABAL;319;1;6;0;0;46
2;ABAL;319;2;7;0;0;NA
2;ABAL;319;3;7;0;0;NA
2;ABAL;326;1;7;0;0;68
2;ABAL;326;2;7;0;0;NA
2;ABAL;326;3;7;0;0;NA
2;ABAL;340;1;7;0;0;65
2;ABAL;340;2;7;0;0;61
2;ABAL;340;3;7;0;0;62
3;ABAL;102;1;8;0;0;0
3;ABAL;102;2;8;0;0;0
3;ABAL;102;3;9;0;0;0
3;ABAL;109;1;8;0;0;0
3;ABAL;116;1;8;1;0;0
3;ABAL;123;1;8;2;0;0
3;ABAL;130;1;9;2;6;0
3;ABAL;130;2;8;2;5;0
3;ABAL;130;3;9;3;6;0
3;ABAL;137;1;8;3;11;0
3;ABAL;144;1;9;7;13;0
3;ABAL;151;1;9;4;18;1
3;ABAL;158;1;11;4;18;4
3;ABAL;165;1;13;11;19;11
3;ABAL;172;1;9;8;25;27
3;ABAL;179;1;13;3;25;30
3;ABAL;186;1;10;3;28;40
3;ABAL;193;1;10;3;23;51
3;ABAL;200;1;10;2;20;51
3;ABAL;207;1;9;5;14;55
3;ABAL;214;1;9;1;11;62
3;ABAL;221;1;8;1;19;56
3;ABAL;221;2;8;1;17;56
3;ABAL;221;3;9;2;19;62
3;ABAL;228;1;8;1;20;50
3;ABAL;228;2;9;2;22;51
3;ABAL;228;3;10;2;21;50
3;ABAL;235;1;9;2;18;46
3;ABAL;242;1;8;3;14;51
3;ABAL;242;2;8;4;15;56
3;ABAL;242;3;9;4;17;51
3;ABAL;249;1;8;1;14;52
3;ABAL;249;2;8;1;13;55
3;ABAL;249;3;7;2;15;59
3;ABAL;256;1;7;1;8;56
3;ABAL;256;2;7;1;7;56
3;ABAL;256;3;6;1;8;58
3;ABAL;263;1;7;1;6;59
3;ABAL;263;2;8;0;7;NA
3;ABAL;263;3;NA;0;7;NA
3;ABAL;270;1;7;0;4;62
3;ABAL;270;2;8;0;5;61
3;ABAL;270;3;9;0;6;61
3;ABAL;277;1;9;0;5;70
3;ABAL;277;2;8;0;8;72
3;ABAL;277;3;8;0;7;72
3;ABAL;284;1;8;0;8;73
3;ABAL;284;2;7;0;7;70
3;ABAL;284;3;9;0;8;76
3;ABAL;291;1;7;0;4;81
3;ABAL;291;2;8;0;5;84
3;ABAL;291;3;9;0;6;81
3;ABAL;298;1;7;0;0;83
3;ABAL;298;2;8;0;0;81
3;ABAL;298;3;9;0;0;87
3;ABAL;305;1;9;0;0;87
3;ABAL;305;2;NA;0;0;92
3;ABAL;305;3;NA;0;0;91
3;ABAL;312;1;9;0;0;108
3;ABAL;312;2;9;0;0;101
3;ABAL;312;3;8;0;0;105
4;ABAL;82;1;6;0;0;0
4;ABAL;82;2;7;0;0;0
4;ABAL;82;3;7;0;0;0
4;ABAL;95;1;6;0;0;0
4;ABAL;95;2;7;0;0;0
4;ABAL;95;3;7;0;0;0
4;ABAL;102;1;6;0;0;0
4;ABAL;102;2;6;0;0;0
4;ABAL;102;3;6;0;0;0
4;ABAL;109;1;6;0;0;0
4;ABAL;109;2;6;0;0;0
4;ABAL;109;3;6;0;0;0
4;ABAL;116;1;6;0;0;0
4;ABAL;116;2;6;0;0;0
4;ABAL;116;3;7;0;0;0
4;ABAL;123;1;7;0;0;0
4;ABAL;123;2;7;0;0;0
4;ABAL;123;3;NA;0;0;0
4;ABAL;130;1;7;3;0;0
4;ABAL;130;2;7;2;0;0
4;ABAL;130;3;6;3;0;0
4;ABAL;137;1;8;5;0;0
4;ABAL;137;2;NA;4;0;0
4;ABAL;137;3;NA;NA;0;0
4;ABAL;144;1;9;3;8;0
4;ABAL;144;2;9;4;9;0
4;ABAL;144;3;10;5;9;0
4;ABAL;151;1;9;3;11;0
4;ABAL;151;2;10;4;12;0
4;ABAL;151;3;11;5;14;0
4;ABAL;158;1;9;3;11;2
4;ABAL;158;2;10;3;12;2
4;ABAL;158;3;11;2;13;2
4;ABAL;165;1;9;4;14;12
4;ABAL;165;2;NA;NA;14;13
4;ABAL;165;3;NA;NA;13;14
4;ABAL;172;1;7;3;12;20
4;ABAL;172;2;8;3;13;19
4;ABAL;172;3;8;4;13;20
4;ABAL;179;1;4;4;12;14
4;ABAL;179;2;NA;NA;13;15
4;ABAL;179;3;NA;NA;13;16
4;ABAL;186;1;8;3;7;17
4;ABAL;186;2;9;4;9;18
4;ABAL;186;3;9;4;10;19
4;ABAL;193;1;8;3;7;19
4;ABAL;193;2;8;4;7;19
4;ABAL;193;3;9;4;8;20
4;ABAL;200;1;8;3;9;20
4;ABAL;200;2;8;4;9;21
4;ABAL;200;3;9;4;9;22
4;ABAL;207;1;8;3;5;16
4;ABAL;207;2;NA;4;6;17
4;ABAL;207;3;NA;4;6;18
4;ABAL;214;1;7;3;5;13
4;ABAL;214;2;8;4;6;13
4;ABAL;214;3;8;4;6;14
4;ABAL;221;1;7;3;3;16
4;ABAL;221;2;8;4;3;16
4;ABAL;221;3;8;4;3;16
4;ABAL;228;1;7;3;4;19
4;ABAL;228;2;7;3;4;19
4;ABAL;228;3;8;4;4;20
4;ABAL;235;1;7;3;4;20
4;ABAL;235;2;7;4;4;21
4;ABAL;235;3;8;NA;4;22
4;ABAL;242;1;6;3;8;25
4;ABAL;242;2;7;4;9;25
4;ABAL;242;3;8;5;10;25
4;ABAL;249;1;7;2;4;33
4;ABAL;249;2;NA;3;5;35
4;ABAL;249;3;NA;4;5;36
4;ABAL;256;1;7;2;4;24
4;ABAL;256;2;8;3;4;25
4;ABAL;256;3;NA;3;4;25
4;ABAL;263;1;6;1;2;18
4;ABAL;263;2;6;1;3;19
4;ABAL;263;3;6;1;3;19
4;ABAL;270;1;6;1;1;19
4;ABAL;270;2;6;1;2;20
4;ABAL;270;3;6;1;2;21
4;ABAL;277;1;7;1;5;31
4;ABAL;277;2;NA;1;5;31
4;ABAL;277;3;NA;2;5;36
4;ABAL;284;1;5;0;2;34
4;ABAL;284;2;6;0;1;37
4;ABAL;284;3;7;0;1;39
4;ABAL;291;1;5;0;2;37
4;ABAL;291;2;6;0;2;NA
4;ABAL;291;3;6;0;3;NA
4;ABAL;298;1;6;0;1;37
4;ABAL;298;2;NA;0;1;37
4;ABAL;298;3;NA;0;1;37
4;ABAL;305;1;5;0;0;37
4;ABAL;305;2;6;0;0;38
4;ABAL;305;3;7;0;0;39
4;ABAL;312;1;5;0;0;37
4;ABAL;312;2;5;0;0;NA
4;ABAL;312;3;6;0;0;NA
4;ABAL;319;1;6;0;0;34
4;ABAL;319;2;7;0;0;35
4;ABAL;319;3;7;0;0;37
5;ABAL;102;1;4;0;0;0
5;ABAL;102;2;4;0;0;0
5;ABAL;102;3;5;0;0;0
5;ABAL;109;1;5;0;0;0
5;ABAL;109;2;5;0;0;0
5;ABAL;109;3;5;0;0;0
5;ABAL;116;1;5;1;0;0
5;ABAL;116;2;6;1;0;0
5;ABAL;116;3;7;1;0;0
5;ABAL;123;1;7;1;0;0
5;ABAL;123;2;8;2;0;0
5;ABAL;123;3;9;2;0;0
5;ABAL;130;1;7;2;2;0
5;ABAL;130;2;8;2;3;0
5;ABAL;130;3;9;3;4;0
5;ABAL;137;1;7;2;8;1
5;ABAL;137;2;8;3;9;0
5;ABAL;137;3;9;3;9;0
5;ABAL;144;1;8;3;9;1
5;ABAL;144;2;8;3;9;1
5;ABAL;144;3;9;4;10;1
5;ABAL;151;1;10;2;8;3
5;ABAL;151;2;9;3;8;4
5;ABAL;151;3;9;4;8;4
5;ABAL;158;1;6;3;6;6
5;ABAL;158;2;6;3;6;6
5;ABAL;158;3;7;3;6;6
5;ABAL;165;1;7;1;6;8
5;ABAL;165;2;7;2;6;9
5;ABAL;165;3;7;2;7;9
5;ABAL;172;1;7;1;4;9
5;ABAL;172;2;NA;1;5;10
5;ABAL;172;3;NA;2;5;11
5;ABAL;179;1;7;1;5;12
5;ABAL;179;2;7;1;5;12
5;ABAL;179;3;7;2;6;12
5;ABAL;186;1;7;1;6;16
5;ABAL;186;2;NA;1;6;17
5;ABAL;186;3;NA;2;7;18
5;ABAL;193;1;7;1;7;20
5;ABAL;193;2;NA;1;7;21
5;ABAL;193;3;NA;2;7;22
5;ABAL;200;1;7;1;4;16
5;ABAL;200;2;NA;1;4;17
5;ABAL;200;3;NA;2;5;18
5;ABAL;207;1;7;1;3;16
5;ABAL;207;2;NA;NA;3;16
5;ABAL;207;3;NA;NA;4;16
5;ABAL;214;1;8;1;3;15
5;ABAL;214;2;NA;2;3;16
5;ABAL;214;3;NA;3;4;17
5;ABAL;221;1;7;1;5;14
5;ABAL;221;2;NA;NA;5;16
5;ABAL;221;3;NA;NA;5;19
5;ABAL;228;1;7;1;6;19
5;ABAL;228;2;NA;2;7;20
5;ABAL;228;3;NA;NA;8;21
5;ABAL;235;1;5;1;3;18
5;ABAL;235;2;6;2;4;19
5;ABAL;235;3;7;3;4;20
5;ABAL;242;1;6;1;3;18
5;ABAL;242;2;NA;2;4;19
5;ABAL;242;3;NA;3;4;20
5;ABAL;249;1;6;1;3;18
5;ABAL;249;2;NA;2;3;19
5;ABAL;249;3;NA;3;4;20
5;ABAL;256;1;7;1;2;22
5;ABAL;256;2;NA;2;3;22
5;ABAL;256;3;NA;2;3;22
5;ABAL;263;1;6;1;3;25
5;ABAL;263;2;NA;1;3;25
5;ABAL;263;3;NA;1;3;26
5;ABAL;270;1;5;0;3;30
5;ABAL;270;2;5;0;4;32
5;ABAL;270;3;NA;0;4;33
5;ABAL;277;1;5;0;3;30
5;ABAL;277;2;NA;0;3;31
5;ABAL;277;3;NA;0;3;32
5;ABAL;284;1;6;0;2;27
5;ABAL;284;2;6;0;2;28
5;ABAL;284;3;NA;0;2;29
5;ABAL;291;1;5;0;1;26
5;ABAL;291;2;5;0;1;28
5;ABAL;291;3;5;0;1;29
5;ABAL;298;1;5;0;0;32
5;ABAL;298;2;5;0;0;34
5;ABAL;298;3;5;0;0;34
5;ABAL;305;1;5;0;0;38
5;ABAL;305;2;NA;0;0;40
5;ABAL;305;3;NA;0;0;40
6;PISY;82;1;7;0;0;0
6;PISY;82;2;8;0;0;0
6;PISY;82;3;9;0;0;0
6;PISY;95;1;7;0;0;0
6;PISY;95;2;7;0;0;0
6;PISY;95;3;7;0;0;0
6;PISY;102;1;7;2;0;0
6;PISY;102;2;8;1;0;0
6;PISY;102;3;NA;1;0;0
6;PISY;109;1;7;2;0;0
6;PISY;109;2;8;3;0;0
6;PISY;109;3;NA;NA;0;0
6;PISY;116;1;7;3;0;0
6;PISY;116;2;8;4;0;0
6;PISY;116;3;8;5;0;0
6;PISY;123;1;12;6;0;0
6;PISY;123;2;13;6;0;0
6;PISY;123;3;14;6;0;0
6;PISY;130;1;12;8;2;0
6;PISY;130;2;NA;NA;3;0
6;PISY;130;3;NA;NA;4;0
6;PISY;137;1;11;8;4;0
6;PISY;137;2;11;12;5;0
6;PISY;137;3;NA;NA;6;0
6;PISY;144;1;10;8;14;0
6;PISY;144;2;11;NA;14;0
6;PISY;144;3;NA;NA;14;0
6;PISY;151;1;9;5;15;0
6;PISY;151;2;10;4;16;0
6;PISY;151;3;11;NA;17;0
6;PISY;158;1;12;5;17;1
6;PISY;158;2;13;6;18;1
6;PISY;158;3;14;7;19;1
6;PISY;165;1;12;5;13;5
6;PISY;165;2;NA;NA;14;5
6;PISY;165;3;NA;NA;15;5
6;PISY;172;1;12;4;10;7
6;PISY;172;2;NA;NA;11;7
6;PISY;172;3;NA;NA;7;8
6;PISY;179;1;9;2;9;17
6;PISY;179;2;12;2;10;17
6;PISY;179;3;13;4;10;19
6;PISY;186;1;8;2;7;14
6;PISY;186;2;9;2;9;15
6;PISY;186;3;9;2;10;16
6;PISY;193;1;8;2;7;20
6;PISY;193;2;9;NA;8;21
6;PISY;193;3;NA;NA;9;22
6;PISY;200;1;6;2;7;20
6;PISY;200;2;10;2;8;20
6;PISY;200;3;10;3;10;21
6;PISY;207;1;7;2;12;29
6;PISY;207;2;NA;3;13;29
6;PISY;207;3;NA;NA;15;32
6;PISY;214;1;7;2;14;32
6;PISY;214;2;6;3;15;36
6;PISY;214;3;6;3;17;40
6;PISY;221;1;7;2;16;30
6;PISY;221;2;7;2;17;34
6;PISY;221;3;7;3;17;35
6;PISY;228;1;7;2;19;30
6;PISY;228;2;8;3;19;33
6;PISY;228;3;NA;NA;21;34
6;PISY;235;1;8;1;20;32
6;PISY;235;2;8;2;21;34
6;PISY;235;3;8;3;22;40
6;PISY;242;1;8;1;20;25
6;PISY;242;2;8;2;20;28
6;PISY;242;3;9;2;21;29
6;PISY;249;1;8;0;20;24
6;PISY;249;2;8;0;21;26
6;PISY;249;3;8;1;23;28
6;PISY;256;1;6;0;21;33
6;PISY;256;2;7;0;25;33
6;PISY;256;3;8;1;25;36
6;PISY;263;1;6;0;21;39
6;PISY;263;2;6;0;21;41
6;PISY;263;3;7;1;21;42
6;PISY;270;1;6;0;24;46
6;PISY;270;2;7;0;24;49
6;PISY;270;3;8;1;25;51
6;PISY;277;1;7;0;17;52
6;PISY;277;2;7;0;17;55
6;PISY;277;3;8;0;18;60
6;PISY;284;1;6;0;10;67
6;PISY;284;2;7;0;11;70
6;PISY;284;3;8;0;13;73
6;PISY;291;1;8;0;5;79
6;PISY;291;2;8;0;5;81
6;PISY;291;3;8;0;5;83
6;PISY;298;1;7;0;0;83
6;PISY;298;2;8;0;0;NA
6;PISY;298;3;9;0;0;NA
7;PISY;82;1;7;0;0;0
7;PISY;82;2;8;0;0;0
7;PISY;82;3;9;0;0;0
7;PISY;95;1;6;0;0;0
7;PISY;95;2;6;0;0;0
7;PISY;95;3;7;0;0;0
7;PISY;102;1;6;0;0;0
7;PISY;102;2;7;0;0;0
7;PISY;102;3;8;1;0;0
7;PISY;109;1;7;2;0;0
7;PISY;109;2;NA;NA;0;0
7;PISY;109;3;NA;NA;0;0
7;PISY;116;1;6;4;0;0
7;PISY;116;2;8;6;0;0
7;PISY;116;3;NA;7;0;0
7;PISY;123;1;6;6;1;0
7;PISY;123;2;NA;NA;2;0
7;PISY;123;3;NA;NA;3;0
7;PISY;130;1;7;6;6;0
7;PISY;130;2;NA;6;7;0
7;PISY;130;3;NA;7;8;0
7;PISY;137;1;7;8;13;0
7;PISY;137;2;NA;NA;13;0
7;PISY;137;3;NA;NA;14;0
7;PISY;144;1;6;6;15;0
7;PISY;144;2;8;7;16;0
7;PISY;144;3;8;7;17;0
7;PISY;151;1;8;7;27;0
7;PISY;151;2;NA;7;28;0
7;PISY;151;3;NA;NA;31;0
7;PISY;158;1;9;6;21;3
7;PISY;158;2;NA;NA;22;3
7;PISY;158;3;NA;NA;23;3
7;PISY;165;1;10;5;21;15
7;PISY;165;2;NA;NA;21;17
7;PISY;165;3;NA;NA;21;19
7;PISY;172;1;11;3;17;25
7;PISY;172;2;NA;3;18;30
7;PISY;172;3;NA;4;19;35
7;PISY;179;1;12;2;16;37
7;PISY;179;2;12;3;17;38
7;PISY;179;3;12;4;18;39
7;PISY;186;1;12;2;9;41
7;PISY;186;2;12;3;10;42
7;PISY;186;3;12;3;11;43
7;PISY;193;1;12;4;12;45
7;PISY;193;2;12;4;12;46
7;PISY;193;3;12;4;14;48
7;PISY;200;1;9;8;11;52
7;PISY;200;2;13;4;13;52
7;PISY;200;3;NA;NA;14;57
7;PISY;207;1;9;2;11;51
7;PISY;207;2;10;3;12;52
7;PISY;207;3;11;4;13;53
7;PISY;214;1;7;2;10;56
7;PISY;214;2;8;3;11;58
7;PISY;214;3;9;3;12;59
7;PISY;221;1;10;3;11;41
7;PISY;221;2;NA;NA;12;47
7;PISY;221;3;NA;NA;13;49
7;PISY;228;1;9;3;11;40
7;PISY;228;2;NA;4;12;42
7;PISY;228;3;NA;NA;13;43
7;PISY;235;1;8;2;13;45
7;PISY;235;2;9;3;14;45
7;PISY;235;3;10;3;14;46
7;PISY;242;1;11;3;10;58
7;PISY;242;2;12;3;11;60
7;PISY;242;3;13;4;12;62
7;PISY;249;1;9;3;14;51
7;PISY;249;2;10;NA;15;53
7;PISY;249;3;NA;NA;16;55
7;PISY;256;1;8;2;21;50
7;PISY;256;2;8;3;22;NA
7;PISY;256;3;9;4;23;NA
7;PISY;263;1;8;0;20;46
7;PISY;263;2;9;0;22;49
7;PISY;263;3;10;0;24;52
7;PISY;270;1;7;0;20;46
7;PISY;270;2;8;0;21;48
7;PISY;270;3;9;0;22;50
7;PISY;277;1;7;0;18;46
7;PISY;277;2;8;0;20;47
7;PISY;277;3;9;0;22;49
7;PISY;284;1;8;0;16;60
7;PISY;284;2;8;0;17;62
7;PISY;284;3;9;0;18;64
7;PISY;291;1;7;0;9;58
7;PISY;291;2;8;0;10;60
7;PISY;291;3;8;0;11;62
7;PISY;298;1;7;0;7;64
7;PISY;298;2;7;0;8;66
7;PISY;298;3;8;0;8;68
7;PISY;305;1;7;0;0;78
7;PISY;305;2;8;0;0;79
7;PISY;305;3;9;0;0;80
7;PISY;312;1;7;0;0;78
7;PISY;312;2;8;0;0;78
7;PISY;312;3;9;0;0;80
8;PISY;82;1;5;0;0;0
8;PISY;82;2;6;0;0;0
8;PISY;82;3;6;0;0;0
8;PISY;95;1;5;0;0;0
8;PISY;95;2;6;0;0;0
8;PISY;95;3;6;0;0;0
8;PISY;102;1;5;0;0;0
8;PISY;102;2;5;0;0;0
8;PISY;102;3;6;0;0;0
8;PISY;109;1;6;1;0;0
8;PISY;109;2;6;2;0;0
8;PISY;109;3;6;2;0;0
8;PISY;116;1;8;2;0;0
8;PISY;116;2;NA;3;0;0
8;PISY;116;3;NA;3;0;0
8;PISY;123;1;8;4;0;0
8;PISY;123;2;NA;NA;0;0
8;PISY;123;3;NA;NA;0;0
8;PISY;130;1;7;5;0;0
8;PISY;130;2;8;6;0;0
8;PISY;130;3;9;7;0;0
8;PISY;137;1;5;4;2;0
8;PISY;137;2;6;5;2;0
8;PISY;137;3;7;6;2;0
8;PISY;144;1;9;4;3;0
8;PISY;144;2;8;3;3;0
8;PISY;144;3;10;5;4;0
8;PISY;151;1;9;5;5;0
8;PISY;151;2;NA;4;4;0
8;PISY;151;3;NA;3;4;0
8;PISY;158;1;7;5;5;1
8;PISY;158;2;8;4;6;1
8;PISY;158;3;8;5;5;1
8;PISY;165;1;7;3;6;3
8;PISY;165;2;8;3;6;3
8;PISY;165;3;8;2;5;3
8;PISY;172;1;7;2;5;3
8;PISY;172;2;7;3;4;3
8;PISY;172;3;7;3;4;3
8;PISY;179;1;5;2;4;2
8;PISY;179;2;6;3;3;3
8;PISY;179;3;6;4;3;4
8;PISY;186;1;6;2;4;5
8;PISY;186;2;7;2;4;6
8;PISY;186;3;7;2;3;7
8;PISY;193;1;6;2;3;8
8;PISY;193;2;7;2;3;7
8;PISY;193;3;7;2;3;7
8;PISY;200;1;6;1;5;11
8;PISY;200;2;6;1;5;12
8;PISY;200;3;7;1;6;13
8;PISY;207;1;6;1;6;11
8;PISY;207;2;NA;1;7;11
8;PISY;207;3;NA;1;8;12
8;PISY;214;1;6;0;7;16
8;PISY;214;2;6;1;7;17
8;PISY;214;3;6;1;7;19
8;PISY;221;1;5;0;8;20
8;PISY;221;2;5;0;8;20
8;PISY;221;3;5;1;9;21
8;PISY;228;1;5;0;7;16
8;PISY;228;2;5;0;8;17
8;PISY;228;3;6;1;8;18
8;PISY;235;1;5;0;6;14
8;PISY;235;2;6;0;6;15
8;PISY;235;3;6;1;7;16
8;PISY;242;1;6;0;6;19
8;PISY;242;2;6;0;6;20
8;PISY;242;3;6;1;7;21
8;PISY;249;1;6;0;5;13
8;PISY;249;2;6;0;6;15
8;PISY;249;3;6;0;7;17
8;PISY;256;1;6;0;4;17
8;PISY;256;2;NA;0;5;18
8;PISY;256;3;NA;0;5;20
8;PISY;263;1;6;0;3;15
8;PISY;263;2;7;0;4;16
8;PISY;263;3;8;0;4;17
8;PISY;270;1;6;0;1;18
8;PISY;270;2;6;0;1;20
8;PISY;270;3;7;0;2;21
8;PISY;277;1;6;0;10;33
8;PISY;277;2;6;0;10;35
8;PISY;277;3;7;0;10;37
8;PISY;284;1;6;0;10;27
8;PISY;284;2;7;0;10;28
8;PISY;284;3;8;0;10;29
8;PISY;291;1;6;0;5;22
8;PISY;291;2;6;0;5;23
8;PISY;291;3;7;0;5;24
8;PISY;298;1;6;0;0;18
8;PISY;298;2;6;0;0;19
8;PISY;298;3;6;0;0;20
8;PISY;305;1;6;0;0;19
8;PISY;305;2;6;0;0;20
8;PISY;305;3;6;0;0;21
8;PISY;312;1;6;0;0;20
8;PISY;312;2;6;0;0;21
8;PISY;312;3;6;0;0;22
9;PISY;82;1;5;0;0;0
9;PISY;82;2;6;0;0;0
9;PISY;82;3;6;0;0;0
9;PISY;95;1;5;0;0;0
9;PISY;95;2;5;0;0;0
